product_category_name,product_category_name_english,flag_null_product_category_name,flag_null_product_category_name_english
beleza_saude,health_beauty,0,0
informatica_acessorios,computers_accessories,0,0
automotivo,auto,0,0
cama_mesa_banho,bed_bath_table,0,0
moveis_decoracao,furniture_decor,0,0
esporte_lazer,sports_leisure,0,0
perfumaria,perfumery,0,0
utilidades_domesticas,housewares,0,0
telefonia,telephony,0,0
relogios_presentes,watches_gifts,0,0
alimentos_bebidas,food_drink,0,0
bebes,baby,0,0
papelaria,stationery,0,0
tablets_impressao_imagem,tablets_printing_image,0,0
brinquedos,toys,0,0
telefonia_fixa,fixed_telephony,0,0
ferramentas_jardim,garden_tools,0,0
fashion_bolsas_e_acessorios,fashion_bags_accessories,0,0
eletroportateis,small_appliances,0,0
consoles_games,consoles_games,0,0
audio,audio,0,0
fashion_calcados,fashion_shoes,0,0
cool_stuff,cool_stuff,0,0
malas_acessorios,luggage_accessories,0,0
climatizacao,air_conditioning,0,0
construcao_ferramentas_construcao,construction_tools_construction,0,0
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,0,0
construcao_ferramentas_jardim,costruction_tools_garden,0,0
fashion_roupa_masculina,fashion_male_clothing,0,0
pet_shop,pet_shop,0,0
moveis_escritorio,office_furniture,0,0
market_place,market_place,0,0
eletronicos,electronics,0,0
eletrodomesticos,home_appliances,0,0
artigos_de_festas,party_supplies,0,0
casa_conforto,home_confort,0,0
construcao_ferramentas_ferramentas,costruction_tools_tools,0,0
agro_industria_e_comercio,agro_industry_and_commerce,0,0
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,0,0
livros_tecnicos,books_technical,0,0
casa_construcao,home_construction,0,0
instrumentos_musicais,musical_instruments,0,0
moveis_sala,furniture_living_room,0,0
construcao_ferramentas_iluminacao,construction_tools_lights,0,0
industria_comercio_e_negocios,industry_commerce_and_business,0,0
alimentos,food,0,0
artes,art,0,0
moveis_quarto,furniture_bedroom,0,0
livros_interesse_geral,books_general_interest,0,0
construcao_ferramentas_seguranca,construction_tools_safety,0,0
fashion_underwear_e_moda_praia,fashion_underwear_beach,0,0
fashion_esporte,fashion_sport,0,0
sinalizacao_e_seguranca,signaling_and_security,0,0
pcs,computers,0,0
artigos_de_natal,christmas_supplies,0,0
fashion_roupa_feminina,fashio_female_clothing,0,0
eletrodomesticos_2,home_appliances_2,0,0
livros_importados,books_imported,0,0
bebidas,drinks,0,0
cine_foto,cine_photo,0,0
la_cuisine,la_cuisine,0,0
musica,music,0,0
casa_conforto_2,home_comfort_2,0,0
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,0,0
cds_dvds_musicais,cds_dvds_musicals,0,0
dvds_blu_ray,dvds_blu_ray,0,0
flores,flowers,0,0
artes_e_artesanato,arts_and_craftmanship,0,0
fraldas_higiene,diapers_and_hygiene,0,0
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,0,0
seguros_e_servicos,security_and_services,0,0
